Blue Ridge Optics, November 2025				
Serial 001: LiF on 3-inch Silicon Wafer. With visibly hazy areas				
Used RC2XF Small Spot Ellipsometer with focused beam				
LiF Film Thickness in nm vs. Position				
X(cm)	Y(cm)	LiF_Thickness,nm	LiF_n@632.8nm	Roughness,nm
1	3.4	557.72	1.384	9.68
0.8	3.4	558.19	1.382	9.23
0.6	3.4	558.53	1.381	9.42
0.4	3.4	558.24	1.381	9.06
0.2	3.4	559.65	1.380	9.22
0	3.4	560.15	1.379	10.09
-0.2	3.4	561.30	1.377	10.61
-0.4	3.4	561.19	1.378	10.56
-0.6	3.4	562.03	1.377	10.74
-0.8	3.4	560.19	1.380	10.17
-1	3.4	560.96	1.379	10.23
-1.4	3.2	561.21	1.378	11.28
-1.2	3.2	560.55	1.378	10.55
-1	3.2	561.28	1.377	11.32
-0.8	3.2	560.32	1.378	11.34
-0.6	3.2	561.31	1.377	11.53
-0.4	3.2	561.35	1.377	11.39
-0.2	3.2	561.25	1.376	11.27
0	3.2	560.85	1.377	11.13
0.2	3.2	560.17	1.377	10.66
0.4	3.2	559.34	1.379	10.24
0.6	3.2	557.90	1.381	9.32
0.8	3.2	557.21	1.381	9.07
1	3.2	557.27	1.381	9.11
1.2	3.2	558.37	1.381	10.29
1.4	3.2	557.10	1.382	10.01
1.8	3	559.84	1.378	11.10
1.6	3	560.15	1.377	11.02
1.4	3	560.40	1.376	10.65
1.2	3	560.76	1.376	12.56
1	3	560.14	1.377	10.95
0.8	3	560.03	1.377	11.67
0.6	3	560.51	1.377	11.28
0.4	3	560.54	1.377	11.58
0.2	3	560.68	1.377	11.93
0	3	560.81	1.377	11.82
-0.2	3	561.14	1.376	12.05
-0.4	3	561.10	1.376	11.85
-0.6	3	561.55	1.376	11.94
-0.8	3	560.98	1.377	11.78
-1	3	561.24	1.377	11.83
-1.2	3	561.19	1.377	11.77
-1.4	3	561.77	1.377	11.87
-1.6	3	561.75	1.377	11.65
-1.8	3	562.74	1.376	11.72
-2	2.8	562.10	1.376	11.51
-1.8	2.8	561.79	1.376	11.63
-1.6	2.8	561.70	1.377	12.05
-1.4	2.8	561.90	1.376	11.91
-1.2	2.8	561.68	1.376	12.30
-1	2.8	561.57	1.376	12.44
-0.8	2.8	561.50	1.376	12.00
-0.6	2.8	561.36	1.376	12.14
-0.4	2.8	561.45	1.377	12.68
-0.2	2.8	563.55	1.375	13.43
0	2.8	561.30	1.376	12.40
0.2	2.8	561.07	1.376	11.90
0.4	2.8	561.39	1.376	13.49
0.6	2.8	561.27	1.376	11.82
0.8	2.8	560.77	1.376	11.87
1	2.8	560.51	1.376	11.38
1.2	2.8	560.14	1.377	12.34
1.4	2.8	560.42	1.376	11.12
1.6	2.8	560.02	1.376	10.99
1.8	2.8	560.19	1.376	10.61
2	2.8	559.50	1.378	11.70
2.4	2.6	559.12	1.380	13.46
2.2	2.6	559.83	1.376	10.64
2	2.6	559.74	1.376	10.87
1.8	2.6	559.93	1.376	11.13
1.6	2.6	560.11	1.376	11.10
1.4	2.6	559.67	1.376	11.38
