Blue Ridge Optics, November 2025				
Serial 002: LiF on 3-inch Silicon Wafer. With visibly hazy areas				
Used RC2XF Small Spot Ellipsometer with focused beam				
LiF Film Thickness in nm vs. Position				
X (cm)	Y (cm)	LiF Thickness, nm	LiF n@632.8 nm	Roughness, nm
1	3.4	559.57	1.381	10.52
0.8	3.4	559.50	1.382	10.39
0.6	3.4	560.94	1.380	10.21
0.4	3.4	559.92	1.381	10.18
0.2	3.4	559.85	1.381	9.91
0	3.4	560.21	1.381	9.74
-0.2	3.4	559.62	1.381	9.70
-0.4	3.4	559.02	1.382	9.72
-0.6	3.4	558.38	1.383	9.42
-0.8	3.4	558.68	1.383	9.62
-1	3.4	558.86	1.382	9.18
-1.4	3.2	559.40	1.381	9.30
-1.2	3.2	559.14	1.381	9.05
-1	3.2	559.65	1.380	10.07
-0.8	3.2	560.61	1.379	10.01
-0.6	3.2	561.24	1.379	9.92
-0.4	3.2	560.48	1.380	10.37
-0.2	3.2	560.71	1.379	10.26
0	3.2	560.62	1.379	10.83
0.2	3.2	560.71	1.380	11.44
0.4	3.2	560.92	1.379	10.90
0.6	3.2	561.35	1.378	10.91
0.8	3.2	560.74	1.380	11.01
1	3.2	560.72	1.379	10.77
1.2	3.2	560.53	1.380	11.19
1.4	3.2	560.87	1.379	11.80
1.8	3	561.37	1.378	11.92
1.6	3	561.79	1.377	11.48
1.4	3	561.69	1.378	11.51
1.2	3	561.54	1.378	11.31
1	3	561.89	1.377	11.02
0.8	3	561.61	1.378	11.23
0.6	3	561.65	1.378	11.84
0.4	3	561.81	1.378	11.19
0.2	3	561.05	1.379	11.31
0	3	561.43	1.377	10.86
-0.2	3	561.02	1.379	11.08
-0.4	3	561.20	1.378	10.92
-0.6	3	560.89	1.379	10.82
-0.8	3	560.28	1.380	10.03
-1	3	559.82	1.380	9.65
-1.2	3	559.92	1.380	9.69
-1.4	3	560.63	1.379	9.60
-1.6	3	560.51	1.380	9.32
-1.8	3	559.77	1.381	8.78
-2	2.8	559.51	1.380	9.23
-1.8	2.8	559.82	1.379	9.13
-1.6	2.8	559.81	1.379	9.75
-1.4	2.8	559.96	1.380	9.94
-1.2	2.8	559.64	1.379	10.02
-1	2.8	560.41	1.378	10.05
-0.8	2.8	559.29	1.381	10.97
-0.6	2.8	561.00	1.378	10.73
-0.4	2.8	561.23	1.378	10.91
-0.2	2.8	561.02	1.379	10.95
0	2.8	561.02	1.378	10.71
0.2	2.8	561.46	1.378	11.33
0.4	2.8	561.54	1.378	11.32
0.6	2.8	561.61	1.377	11.30
0.8	2.8	561.94	1.378	11.43
1	2.8	561.81	1.377	11.49
1.2	2.8	561.66	1.378	11.84
1.4	2.8	562.14	1.377	11.29
1.6	2.8	561.38	1.378	11.74
1.8	2.8	561.62	1.378	11.58
2	2.8	561.31	1.378	11.44
2.4	2.6	559.44	1.381	10.52
2.2	2.6	560.29	1.380	10.85
2	2.6	560.85	1.378	11.28
1.8	2.6	561.25	1.378	11.78
1.6	2.6	561.62	1.378	11.56
1.4	2.6	561.38	1.378	11.65
1.2	2.6	561.00	1.378	11.72
1	2.6	561.07	1.378	11.39
0.8	2.6	560.72	1.379	11.40
0.6	2.6	560.88	1.378	11.18
0.4	2.6	560.64	1.378	11.00
0.2	2.6	560.50	1.379	11.23
0	2.6	560.87	1.378	11.27
-0.2	2.6	561.04	1.379	10.64
-0.4	2.6	560.94	1.378	10.87
-0.6	2.6	560.48	1.379	10.71
-0.8	2.6	560.01	1.379	10.74
-1	2.6	560.08	1.379	10.54
-1.2	2.6	559.88	1.379	10.13
-1.4	2.6	559.81	1.379	10.03
-1.6	2.6	559.31	1.380	9.45
-1.8	2.6	559.07	1.380	9.55
-2	2.6	559.09	1.380	9.11
-2.2	2.6	557.68	1.383	9.63
-2.4	2.6	559.15	1.381	8.43
-2.6	2.4	558.50	1.381	7.80
-2.4	2.4	559.60	1.379	8.79
-2.2	2.4	558.19	1.381	9.55
-2	2.4	559.03	1.380	9.59
-1.8	2.4	559.66	1.380	9.76
-1.6	2.4	559.56	1.380	9.92
-1.4	2.4	559.98	1.379	10.76
-1.2	2.4	560.46	1.378	10.73
-1	2.4	560.04	1.379	10.66
-0.8	2.4	560.13	1.380	10.81
