Blue Ridge Optics, Hamilton College, June 2026						
LiF on 3-inch Fused Silica wafer. WA0904 Labeled Sample						Map 3, July 29, 2026
Used RC2XF Small Spot Ellipsometer with focused beam						Sample Rotated Clockwise 90 degrees						
Mapping Results						
X (cm)	Y (cm)	LiF Film Thickness, nm	LiF Grading, %	Roughness, nm	Interlayer Thickness # 1, nm	Interlayer EMA Void, %
1	3.4	495.6	4.7	29.3	95.5	18.5
0.8	3.4	495.5	4.6	29.4	95.5	18.6
0.6	3.4	496.2	4.6	29.5	94.6	18.6
0.4	3.4	495.4	4.6	29.4	95.6	18.5
0	3.4	496.3	4.4	29.5	94.1	18.3
-0.2	3.4	495.6	4.4	29.5	94.7	18.0
-0.4	3.4	495.7	4.6	29.5	94.1	17.9
-0.6	3.4	494.9	4.4	29.3	94.3	17.6
-0.8	3.4	494.7	4.3	29.5	94.3	17.1
-1	3.4	495.1	4.3	29.3	93.4	16.8
-1.4	3.2	494.5	4.5	29.4	93.9	16.5
-1.2	3.2	495.6	4.3	29.4	93.4	17.0
-1	3.2	495.7	4.3	29.6	93.6	17.4
-0.8	3.2	496.7	4.5	29.5	93.3	17.9
-0.6	3.2	496.6	4.5	29.3	93.7	18.1
-0.4	3.2	497.0	4.4	29.6	93.6	18.7
-0.2	3.2	497.2	4.3	29.8	93.7	18.6
0	3.2	497.1	4.5	29.6	94.2	18.8
0.2	3.2	497.2	4.6	29.6	94.6	18.8
0.4	3.2	497.6	4.4	29.7	94.1	19.1
0.6	3.2	497.6	4.5	29.7	94.4	19.2
0.8	3.2	496.7	4.6	29.6	95.2	19.2
1	3.2	496.7	4.7	29.6	95.4	19.0
1.2	3.2	497.0	4.6	29.6	95.1	19.2
1.4	3.2	496.3	4.8	29.6	95.6	19.1
1.8	3	496.5	4.6	29.4	95.6	19.8
1.6	3	497.3	4.7	29.5	95.2	19.9
1.4	3	498.0	4.5	29.6	95.1	19.9
1.2	3	497.7	4.6	29.6	95.2	19.9
1	3	498.2	4.4	29.7	94.2	19.9
0.8	3	497.9	4.6	29.7	94.8	19.7
0.6	3	497.7	4.6	29.8	94.7	19.6
0.4	3	498.2	4.4	29.7	94.2	19.6
0.2	3	497.5	4.5	29.8	94.5	19.2
0	3	496.6	4.4	29.6	94.7	19.2
-0.2	3	496.7	4.4	29.7	94.8	19.0
-0.4	3	497.3	4.5	29.7	93.9	19.0
-0.6	3	496.6	4.4	29.6	94.2	18.6
-0.8	3	497.3	4.3	29.8	93.2	18.4
-1	3	496.7	4.3	29.7	93.1	18.1
-1.2	3	496.9	4.3	29.8	92.7	17.9
-1.4	3	495.7	4.4	29.5	93.4	17.6
-1.6	3	495.2	4.2	29.3	93.7	17.0
-1.8	3	495.2	4.2	29.2	93.4	16.5
-2	2.8	495.6	4.3	29.4	93.1	16.8
-1.8	2.8	495.7	4.0	29.6	93.3	17.3
-1.6	2.8	496.9	4.3	29.6	92.8	17.8
-1.4	2.8	495.8	4.2	29.6	93.9	17.8
-1.2	2.8	496.1	4.4	29.5	93.6	18.2
-1	2.8	497.3	4.4	29.8	92.8	18.5
-0.8	2.8	497.2	4.4	30.0	93.7	18.7
-0.6	2.8	496.8	4.2	29.9	94.1	19.0
-0.4	2.8	497.7	4.4	29.9	93.8	19.2
-0.2	2.8	497.5	4.3	29.9	93.9	19.3
0	2.8	497.7	4.2	29.9	93.7	19.6
0.2	2.8	497.8	4.4	29.9	94.3	19.8
0.4	2.8	498.3	4.6	29.7	94.1	20.0
0.6	2.8	497.8	4.4	29.9	94.8	20.2
0.8	2.8	498.2	4.4	30.1	94.4	20.3
1	2.8	498.2	4.5	30.0	94.8	20.5
1.2	2.8	498.1	4.4	30.1	95.2	20.4
1.4	2.8	498.4	4.7	30.0	95.2	20.5
1.6	2.8	497.8	4.7	29.9	95.9	20.6
1.8	2.8	497.2	4.7	29.8	96.1	20.7
2	2.8	497.8	4.7	29.7	95.6	20.9
2.4	2.6	498.2	4.7	29.5	94.9	21.4
2.2	2.6	498.6	4.6	29.7	95.2	21.4
2	2.6	497.8	4.8	29.6	96.5	21.1
1.8	2.6	497.7	4.8	29.6	96.4	21.0
1.6	2.6	498.1	4.7	29.6	95.5	21.1
1.4	2.6	498.6	4.6	29.9	94.9	21.0
1.2	2.6	498.8	4.6	30.1	95.1	20.7
1	2.6	498.7	4.6	29.9	94.3	20.8
0.8	2.6	498.3	4.5	30.1	94.7	20.4
0.6	2.6	497.9	4.5	30.1	95.1	20.2
0.4	2.6	498.4	4.5	30.1	94.2	20.1
0.2	2.6	498.2	4.3	30.1	94.1	19.9
0	2.6	498.7	4.5	30.1	93.7	20.0
-0.2	2.6	497.9	4.3	30.1	93.6	19.7
-0.4	2.6	498.1	4.3	30.0	93.3	19.5
-0.6	2.6	497.0	4.4	29.8	94.2	19.1
-0.8	2.6	497.7	4.3	30.0	93.0	19.1
-1	2.6	497.2	4.4	30.1	93.4	18.8
-1.2	2.6	497.2	4.3	30.1	93.0	18.5
-1.4	2.6	496.4	4.2	29.9	93.4	18.3
-1.6	2.6	496.4	4.2	29.8	93.3	18.0
-1.8	2.6	496.9	4.1	29.6	92.1	18.0
-2	2.6	496.4	4.2	29.7	92.7	17.4
-2.2	2.6	496.1	4.2	29.5	92.4	17.1
-2.4	2.6	495.2	4.2	29.4	92.1	16.4
-2.6	2.4	494.1	4.1	29.1	92.6	16.1
-2.4	2.4	495.8	4.1	29.5	92.4	16.9
-2.2	2.4	496.0	4.2	29.4	92.8	17.4
-2	2.4	496.4	4.1	29.5	92.7	17.8
-1.8	2.4	497.0	4.2	29.9	92.6	18.1
-1.6	2.4	496.9	4.1	29.9	93.0	18.2
-1.4	2.4	497.4	4.1	29.9	92.8	18.5
-1.2	2.4	497.1	4.4	29.7	93.3	19.0
-1	2.4	497.6	4.3	30.0	93.1	19.1
-0.8	2.4	497.6	4.4	30.1	93.5	19.3
-0.6	2.4	497.6	4.2	30.0	93.6	19.4
-0.4	2.4	497.9	4.2	30.0	93.7	19.6
-0.2	2.4	498.1	4.3	29.9	93.9	19.8
0	2.4	498.3	4.4	30.3	93.9	19.9
0.2	2.4	498.1	4.3	30.0	94.3	20.1
0.4	2.4	498.6	4.4	30.1	94.0	20.3
0.6	2.4	498.2	4.4	30.2	94.5	20.5
0.8	2.4	498.5	4.4	30.1	94.4	20.7
1	2.4	498.5	4.5	30.1	94.8	20.9
1.2	2.4	498.8	4.5	30.2	94.9	21.0
1.4	2.4	497.1	4.7	29.3	96.5	20.3
1.6	2.4	498.0	4.7	29.8	96.0	21.2
1.8	2.4	497.8	4.6	29.8	96.3	21.4
2	2.4	498.1	4.8	29.7	96.5	21.4
2.2	2.4	499.2	4.7	30.0	95.3	21.6
2.4	2.4	498.8	4.6	29.7	95.1	21.8
2.6	2.4	497.5	4.6	29.5	95.8	21.5
2.6	2.2	498.6	4.6	29.8	95.4	21.9
2.4	2.2	498.5	4.7	30.0	95.9	21.8
2.2	2.2	498.9	4.6	30.0	95.7	21.6
2	2.2	498.8	4.9	30.1	96.2	21.5
1.8	2.2	498.2	4.9	29.8	96.3	21.5
1.6	2.2	496.7	4.4	29.2	95.8	21.4
1.4	2.2	498.5	4.7	30.0	95.4	21.3
1.2	2.2	499.2	4.5	30.2	94.5	21.2
1	2.2	498.9	4.4	30.3	94.2	20.9
0.8	2.2	499.0	4.4	30.0	94.1	20.7
0.6	2.2	498.7	4.3	30.0	94.2	20.6
0.4	2.2	498.4	4.4	30.3	94.2	20.4
0.2	2.2	498.2	4.2	30.1	94.0	20.2
0	2.2	499.1	4.4	30.1	93.3	20.2
-0.2	2.2	498.7	4.4	30.1	93.7	19.8
-0.4	2.2	498.2	4.3	30.0	93.5	19.6
-0.6	2.2	497.7	4.4	30.0	93.8	19.5
-0.8	2.2	497.8	4.3	30.1	93.3	19.3
-1	2.2	497.6	4.2	30.0	93.1	19.2
-1.2	2.2	497.6	4.3	30.0	93.0	18.8
-1.4	2.2	497.6	4.1	30.0	92.9	18.6
-1.6	2.2	497.0	4.1	30.0	92.8	18.4
-1.8	2.2	496.9	4.2	29.5	92.6	18.2
-2	2.2	496.9	4.0	29.8	92.1	17.9
-2.2	2.2	497.3	4.1	29.7	91.5	17.8
-2.4	2.2	493.9	4.2	29.0	94.7	17.1
-2.6	2.2	495.1	4.1	29.4	92.4	16.6
-2.8	2	495.0	3.8	29.3	92.1	16.3
-2.6	2	496.1	3.9	29.5	91.9	17.0
-2.4	2	496.6	4.0	29.6	91.9	17.5
-2.2	2	496.9	4.1	29.7	92.3	17.7
-2	2	497.2	4.0	29.8	92.1	18.1
-1.8	2	497.1	4.0	29.9	92.6	18.4
-1.6	2	497.2	4.0	30.1	92.9	18.4
-1.4	2	498.0	4.0	30.1	92.3	18.8
-1.2	2	498.1	4.1	29.9	92.6	19.2
-1	2	498.2	4.3	30.1	92.9	19.2
-0.8	2	498.0	4.3	30.0	92.9	19.4
-0.6	2	497.8	4.2	30.1	93.5	19.5
-0.4	2	498.4	4.3	30.2	93.5	19.7
-0.2	2	499.2	4.3	29.8	93.2	20.0
0	2	498.7	4.1	30.1	93.4	20.1
0.2	2	498.8	4.2	30.1	93.7	20.3
0.4	2	498.6	4.2	30.0	94.1	20.4
0.6	2	499.3	4.3	30.2	93.8	20.6
0.8	2	499.1	4.4	30.0	94.1	20.8
1	2	498.7	4.4	30.2	94.8	20.8
1.2	2	498.7	4.4	30.0	95.0	21.1
1.4	2	499.0	4.5	29.8	94.8	21.3
1.6	2	498.8	4.6	29.9	95.4	21.4
1.8	2	499.0	4.6	29.9	95.6	21.5
2	2	498.6	4.6	30.1	95.9	21.5
2.2	2	498.6	4.6	30.0	96.1	21.7
2.4	2	499.2	4.6	29.9	95.6	21.6
2.6	2	499.2	4.5	29.7	94.9	22.1
2.8	2	498.3	4.6	29.6	95.4	21.9
3	1.8	494.8	4.5	28.9	98.2	21.7
2.8	1.8	498.5	4.5	29.7	95.4	22.0
2.6	1.8	499.5	4.5	30.1	95.3	22.1
2.4	1.8	499.2	4.5	29.9	95.5	21.9
2.2	1.8	499.5	4.6	29.9	95.0	22.0
2	1.8	499.6	4.8	30.0	95.0	21.9
1.8	1.8	499.4	4.5	30.0	95.1	21.6
1.6	1.8	499.6	4.4	29.9	94.6	21.6
1.4	1.8	499.1	4.4	30.0	94.8	21.3
1.2	1.8	499.1	4.4	30.0	94.4	21.3
1	1.8	499.2	4.4	30.1	94.3	21.0
0.8	1.8	499.4	4.4	30.0	94.0	20.8
0.6	1.8	499.3	4.3	30.1	94.1	20.7
0.4	1.8	499.0	4.1	30.1	93.6	20.4
0.2	1.8	498.6	3.8	30.0	93.4	20.2
0	1.8	498.4	4.3	30.0	93.9	20.1
-0.2	1.8	498.2	4.3	29.8	94.3	19.7
-0.4	1.8	498.8	4.2	29.7	93.3	19.6
-0.6	1.8	498.4	4.0	30.0	92.6	19.6
-0.8	1.8	498.5	4.1	30.1	92.8	19.4
-1	1.8	498.2	4.1	29.8	92.7	19.2
-1.2	1.8	498.1	4.2	29.9	92.8	19.1
-1.4	1.8	498.4	4.0	29.9	92.4	18.8
-1.6	1.8	498.0	4.0	29.8	92.1	18.7
-1.8	1.8	498.1	4.1	29.7	91.8	18.5
-2	1.8	497.5	4.1	29.7	91.9	18.2
-2.2	1.8	497.0	3.9	29.7	91.8	17.8
-2.4	1.8	497.1	3.7	29.6	91.3	17.5
-2.6	1.8	496.3	3.7	29.3	91.7	17.1
-2.8	1.8	496.3	3.8	29.2	91.4	16.7
-3	1.8	495.4	3.6	29.1	91.3	16.0
-3	1.6	496.0	3.6	29.1	91.3	16.5
-2.8	1.6	496.8	3.5	29.4	90.9	17.0
-2.6	1.6	497.3	3.7	29.6	90.9	17.6
-2.4	1.6	497.3	3.7	29.6	91.1	17.7
-2.2	1.6	498.1	3.9	29.5	91.2	18.1
-2	1.6	497.6	4.0	29.6	92.0	18.4
-1.8	1.6	498.4	4.2	29.8	91.7	18.6
-1.6	1.6	498.1	3.9	29.8	92.1	18.7
-1.4	1.6	498.6	3.9	29.9	92.1	18.8
-1.2	1.6	498.3	4.0	29.9	92.7	19.1
-1	1.6	498.3	4.0	29.8	92.7	19.2
-0.8	1.6	498.3	4.0	29.8	92.8	19.5
-0.6	1.6	498.4	4.1	29.9	93.3	19.6
-0.4	1.6	498.9	4.2	30.0	93.1	19.8
-0.2	1.6	497.8	4.1	29.6	94.3	19.8
0	1.6	499.2	4.1	30.2	93.5	20.1
0.2	1.6	498.7	4.1	29.8	93.7	20.3
0.4	1.6	499.2	4.1	29.9	93.5	20.5
0.6	1.6	499.4	4.3	29.9	93.9	20.7
0.8	1.6	499.2	4.3	29.8	94.0	21.0
1	1.6	499.3	4.4	30.0	94.3	21.1
1.2	1.6	498.7	4.4	29.8	95.1	21.1
1.4	1.6	499.4	4.3	29.8	94.7	21.4
